File Name, ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
P2002 Rev 1 Group 6.csv,27.22532069157836,2741.3586168432794,255.0,0.0,255.0,255.0,612.0837735638595,462.13834634690465,201.78314445064134,582.7585052983826,432.6726157278305,58.69659788064696,58.953708867819294,59.34359955382041,56.505077523703285,87.99893139988848,0.8144116006692694,61.97765142219744,699046.4472950363,255.0,,,100.0,699046.4472950363,1.0,593.3848298940324,465.12046848856664,81.94352035694368,57.084610708310095,1.0542844394868933,0.9534255437813721,0.9616625766871165
P2328 Rev 2 Group 2.csv,28.20837927232635,3483.0148842337376,255.0,0.0,255.0,255.0,623.213855016538,457.64301984564503,228.86255237045205,590.0633958103639,424.4327453142227,66.28224917309812,66.46471885336274,67.36290793825799,62.95970507166483,89.94264332965822,0.8001130099228223,70.21953638368247,888168.7954796031,255.0,,,100.0,888168.7954796031,1.0,601.6598676957001,460.26791620727676,85.16590959206174,63.68463506063948,1.098305953693495,0.9348732083792723,0.960718302094818
P1444 Rev 8 Group 2.csv,208.82,1106.34,255.0,0.0,255.0,255.0,716.5886,430.54193999999995,137.78010000000003,696.9,411.4,39.74,38.66,40.82432,34.7288,81.40356,0.72234,43.86180000000001,282116.7,255.0,,,100.0,282116.7,1.0,702.7,432.7,77.50466,35.82642,1.55576,0.8637999999999999,0.9238
P1444 Rev 10 Group 1.csv,53.89827806122449,2616.907525510204,255.0,0.0,255.0,255.0,620.5110459183674,471.900587372449,195.34465114795918,591.9952168367347,443.23501275510205,57.0813137755102,57.353635204081634,57.78103667091837,55.19999043367346,87.49666103316326,0.8255714285714285,60.021852997448974,667311.419005102,255.0,,,100.0,667311.419005102,1.0,601.9773596938776,474.344068877551,83.55154272959184,55.65985299744898,1.0519477040816325,0.955940369897959,0.9634161352040815
P1444 Rev 8 Group 1.csv,54.04307753957123,2850.982368262873,255.0,0.0,255.0,255.0,615.476783009417,463.96002885193343,203.79022420356642,585.7271087958325,434.0763374073332,59.531957523542374,59.78000400721298,60.12784992987377,57.75587277098778,87.60868964135443,0.8265221398517331,62.34476076938489,727000.5039070327,255.0,,,100.0,727000.5039070327,1.0,596.5213384091364,467.41875375676216,81.84060709276699,58.213273692646766,1.043691244239631,0.9610933680625126,0.96501683029453
P2002 Rev 1 Group 3.csv,30.43523634131369,2969.68569674647,255.0,0.0,255.0,255.0,621.8233339472068,462.72614794352364,209.68122958870472,591.354205033763,432.0534069981584,60.919582565991405,61.39901780233272,61.71797912829956,58.891222222222225,86.70380233271946,0.8167685696746471,64.0904628606507,757269.8526703499,255.0,,,100.0,757269.8526703499,1.0,602.2547575199509,466.1510128913444,81.20991528545119,59.35094290976059,1.0668238182934315,0.9543351749539596,0.9636077348066298
P2002 Rev 1 Group 11.csv,45.38299445471349,3091.652125693161,255.0,0.0,255.0,255.0,626.1235560073937,451.828863585952,214.02960369685766,594.9353049907578,420.5959334565619,62.3815157116451,62.50018484288355,63.31266654343808,59.38524658040666,87.85087726432532,0.81076561922366,66.07344584103511,788371.292051756,255.0,,,100.0,788371.292051756,1.0,605.0828096118299,454.528280961183,84.70939001848429,59.99603512014788,1.0748661737523104,0.9385009242144178,0.9613582255083178
P1442 Rev 8 Group 1.csv,39.140930546190155,2904.701955495617,255.0,0.0,255.0,255.0,625.5501193526635,474.8652080242751,206.68464969656102,595.4625758597438,444.5765340525961,60.215441672285905,60.57147673634525,60.82258226567768,58.61329231287931,90.69368273769386,0.8250637221847607,62.96574949426837,740698.9986513823,255.0,,,100.0,740698.9986513823,1.0,606.8961564396493,476.93290627107217,83.79587086985839,59.08663958192852,1.0406365475387729,0.9642612946729602,0.965606877950101
P2001 Rev 1 Group 1.csv,22.141065830721004,3240.073354231975,255.0,0.0,255.0,255.0,640.0307931034482,460.6675680250783,220.45637993730406,608.0664576802508,428.6244514106583,63.991849529780566,64.09717868338558,65.08158746081504,60.96678871473354,88.60455047021945,0.8078833855799373,67.68224388714734,826218.7053291536,255.0,,,100.0,826218.7053291536,1.0,618.4608150470219,463.2526645768025,84.72318934169279,61.47803260188088,1.0880940438871471,0.9372363636363636,0.9630884012539185
P1440 Rev 7 Group 2.csv,51.77348703170029,2832.380691642651,255.0,0.0,255.0,255.0,613.8342657060518,464.8895417867435,203.39161181556193,584.1671469740634,435.0610951008646,59.34121037463977,59.688472622478386,60.037985014409216,57.54221671469742,86.35569510086455,0.825264841498559,62.258105187319885,722257.076368876,255.0,,,100.0,722257.076368876,1.0,594.8890489913545,468.1585014409222,80.89294639769453,58.01463832853025,1.0471951008645533,0.9585028818443803,0.9645801152737752
P2001 Rev 1 Group 2.csv,31.111851499286054,3024.3917182294144,255.0,0.0,255.0,255.0,620.046093764874,457.94350547358397,210.43318039029032,589.3498334126606,427.14278914802475,61.406949071870535,61.60875773441219,62.03540790099953,59.630836268443595,87.19693574488338,0.8250647310804379,64.21090956687291,771219.8881485007,255.0,,,100.0,771219.8881485007,1.0,599.842455973346,461.3688719657306,81.4855587815326,60.09800237981913,1.0490147548786293,0.9607653498334126,0.9660590195145169
P2002 Rev 2 Group 5.csv,14.457871396895786,3082.869179600887,255.0,0.0,255.0,255.0,631.5646152993348,460.01298780487804,213.55740133037696,600.560975609756,428.8558758314856,62.048780487804876,62.21729490022173,62.774772727272726,59.64134146341464,86.76324168514412,0.8096474501108649,65.31824168514412,786131.6407982261,255.0,,,100.0,786131.6407982261,1.0,611.7361419068736,463.5809312638581,82.46735365853657,60.230147450110856,1.085570953436807,0.9501463414634146,0.9619268292682926
P1444 Rev 7 Group 2.csv,21.35607094133697,2789.667803547067,255.0,0.0,255.0,255.0,615.9370040927695,460.72420873124145,194.3859945429741,586.5211459754433,431.4276944065484,58.92155525238745,58.54092769440655,59.473389495225106,57.08180900409277,87.45776603001363,0.888036834924966,61.50541132332879,711365.2899045021,255.0,,,100.0,711365.2899045021,1.0,594.8226466575716,460.84652114597543,88.07184924965894,57.442461800818556,1.0440586630286492,0.9604276944065485,0.968338335607094
P1444 Rev 9 Group 1.csv,16.39747899159664,2716.4420168067227,255.0,0.0,255.0,255.0,630.3706277310924,460.0932764705882,192.7112537815126,601.3857142857142,430.82689075630253,58.01260504201681,58.38991596638655,59.01688403361345,56.387938655462186,83.10522773109243,0.8852806722689075,61.03263193277311,692692.7142857143,255.0,,,100.0,692692.7142857143,1.0,611.6159663865546,461.53193277310925,86.12565630252102,56.74786974789916,1.04938487394958,0.9569201680672268,0.9676310924369748
P222 Rev 2 Group 3.csv,50.27955133735979,3041.5733390854184,255.0,0.0,255.0,255.0,611.651200603969,473.44383477135455,211.38413805004313,580.8787748058671,442.4637618636756,61.60310612597066,61.9344262295082,62.27927178602244,59.70375927523727,87.50318205349438,0.82253494391717,64.65178817946506,775601.2014667817,255.0,,,100.0,775601.2014667817,1.0,591.8481449525453,476.3537532355479,82.41141716997411,60.23616220880069,1.045630284728214,0.9594564279551338,0.9649823123382225
P1444 Rev 5 Group 4.csv,66.22015983500903,2897.548594998711,255.0,0.0,255.0,255.0,614.8999231760763,463.07793658159324,209.47325676720806,584.422015983501,432.4854343903068,61.02423304975509,61.09203402938902,63.35243103892756,55.280551688579536,89.7351567414282,0.7984606857437483,66.61893915957721,738874.8917246714,255.0,,,100.0,738874.8917246714,1.0,593.620778551173,462.91930910028356,89.91023098736788,56.28233281773653,1.1971191028615622,0.8740319670018045,0.9498662026295437
P1444 Rev 9 Group 2.csv,40.88974739970282,2527.5084695393757,255.0,0.0,255.0,255.0,627.6382742942051,468.68765200594356,193.94944398216938,599.4760772659732,440.36939078751857,56.34115898959881,56.6665676077266,57.07299405646359,54.50496047548292,89.64875690936108,0.8154570579494799,59.27723209509658,644514.6597325408,255.0,,,100.0,644514.6597325408,1.0,610.490044576523,471.35393759286774,84.73254502228825,54.96999375928677,1.0763904903417534,0.9565304606240713,0.9625729569093611
P1444 Rev 5 Group 3.csv,29.79081081081081,2558.88,255.0,0.0,255.0,255.0,613.3559135135134,485.19285243243246,192.94315783783784,585.1632432432432,456.8745945945946,56.402702702702705,56.66108108108108,56.98997891891892,54.76448378378378,87.24901027027026,0.8291043243243242,59.07126216216216,652514.4,255.0,,,100.0,652514.4,1.0,594.7610810810811,489.5583783783784,79.22844162162163,55.257300540540534,1.0499270270270271,0.9608751351351352,0.9641340540540541
P1444 Rev 6 Group 2.csv,24.209814722083124,2876.179769654482,255.0,0.0,255.0,255.0,608.5660480721082,458.17557836755134,205.26917476214322,578.6644967451177,428.1417125688533,59.78517776664997,60.03555332999499,60.43695142714071,57.77872008012018,89.37697195793689,0.819463695543315,62.723588883324986,733425.8412618928,255.0,,,100.0,733425.8412618928,1.0,589.6675012518779,460.76765147721585,83.1927821732599,58.27227841762644,1.0517521281922886,0.9575613420130196,0.9636810215322984
P1444 Rev 6 Group 3.csv,108.16666666666667,1075.625,255.0,0.0,255.0,255.0,632.1387083333333,458.59255,140.7033,611.7083333333334,439.03333333333336,40.05,39.34166666666667,42.0137,33.001275,96.90716666666665,0.68475,45.585858333333334,274284.375,255.0,,,100.0,274284.375,1.0,617.5083333333333,459.175,91.03800833333335,34.450624999999995,1.6531999999999998,0.803075,0.907225
P1444 Rev 6 Group 1.csv,25.809671419714817,2745.869187848729,255.0,0.0,255.0,255.0,626.6631115933044,475.6556472411655,200.64773527588343,597.5226286422815,446.26906385616866,58.358958462492254,58.81339119652821,59.13070737755735,56.446254184748916,85.77277433353999,0.8185765654060755,61.330812151270926,700196.642901426,255.0,,,100.0,700196.642901426,1.0,608.2554246745195,480.02851828890266,80.22757780533168,56.932371977681335,1.0643564786112834,0.9543911965282083,0.9627916924984501
P2316.csv,56.26542443064182,2952.4538302277433,255.0,0.0,255.0,255.0,607.5665577639752,470.14885797101454,221.84459834368528,576.6853002070393,439.0173913043478,61.94492753623189,62.200828157349896,63.168860869565215,56.0280198757764,85.79599337474122,0.733527122153209,67.8416281573499,752875.7267080746,255.0,,,100.0,752875.7267080746,1.0,585.8306418219462,471.90683229813664,86.969783436853,57.48737101449275,1.2751871635610765,0.8763312629399587,0.9264405797101448
